iter	Passed	Remaining
732	20903	7614
733	20930	7585
734	20958	7556
735	20987	7528
736	21013	7498
737	21041	7470
738	21068	7440
739	21096	7412
740	21124	7383
741	21153	7355
742	21180	7326
743	21208	7297
744	21236	7268
745	21262	7239
746	21291	7211
747	21319	7182
748	21347	7153
749	21374	7124
750	21402	7096
751	21430	7067
752	21458	7038
753	21485	7009
754	21513	6981
755	21540	6952
756	21568	6923
757	21597	6895
758	21624	6866
759	21651	6837
760	21680	6808
761	21708	6780
762	21737	6751
763	21765	6723
764	21793	6694
765	21819	6665
766	21848	6637
767	21876	6608
768	21904	6579
769	21933	6551
770	21960	6522
771	21989	6494
772	22016	6465
773	22045	6437
774	22073	6408
775	22102	6379
776	22130	6351
777	22158	6322
778	22187	6294
779	22215	6265
780	22243	6237
781	22270	6208
782	22299	6180
783	22326	6151
784	22353	6122
785	22381	6093
786	22409	6065
787	22438	6036
788	22466	6008
789	22494	5979
790	22523	5951
791	22550	5922
792	22579	5893
793	22607	5865
794	22635	5836
795	22662	5807
796	22689	5779
797	22718	5750
798	22746	5722
799	22774	5693
800	22802	5664
801	22829	5636
802	22857	5607
803	22885	5579
804	22911	5549
805	22939	5521
806	22966	5492
807	22994	5464
808	23021	5435
809	23048	5406
810	23075	5377
811	23102	5348
812	23129	5320
813	23156	5291
814	23182	5262
815	23210	5233
816	23238	5205
817	23266	5176
818	23295	5148
819	23322	5119
820	23351	5091
821	23380	5062
822	23408	5034
823	23438	5006
824	23466	4977
825	23495	4949
826	23525	4921
827	23553	4892
828	23581	4864
829	23609	4835
830	23636	4806
831	23664	4778
832	23692	4749
833	23718	4721
834	23746	4692
835	23774	4663
836	23802	4635
837	23831	4606
838	23858	4578
839	23886	4549
840	23913	4521
841	23940	4492
842	23968	4463
843	23995	4435
844	24024	4406
845	24051	4378
846	24077	4349
847	24105	4320
848	24133	4292
849	24161	4263
850	24187	4235
851	24215	4206
852	24244	4178
853	24272	4149
854	24298	4120
855	24324	4092
856	24351	4063
857	24377	4034
858	24405	4005
859	24434	3977
860	24462	3949
861	24489	3920
862	24518	3892
863	24545	3863
864	24572	3835
865	24601	3806
866	24629	3778
867	24655	3749
868	24682	3720
869	24711	3692
870	24741	3664
871	24770	3636
872	24798	3607
873	24825	3578
874	24851	3550
875	24878	3521
876	24905	3492
877	24932	3464
878	24960	3435
879	24987	3407
880	25015	3378
881	25044	3350
882	25072	3322
883	25100	3293
884	25127	3265
885	25155	3236
886	25181	3208
887	25206	3179
888	25234	3150
889	25261	3122
890	25289	3093
891	25316	3065
892	25345	3036
893	25373	3008
894	25400	2980
895	25430	2951
896	25460	2923
897	25489	2895
898	25516	2866
899	25544	2838
900	25571	2809
901	25598	2781
902	25626	2752
903	25654	2724
904	25683	2696
905	25709	2667
906	25737	2639
907	25765	2610
908	25793	2582
909	25820	2553
910	25849	2525
911	25877	2496
912	25904	2468
913	25931	2439
914	25959	2411
915	25986	2383
916	26012	2354
917	26041	2326
918	26067	2297
919	26094	2269
920	26122	2240
921	26152	2212
922	26178	2183
923	26207	2155
924	26235	2127
925	26263	2098
926	26291	2070
927	26318	2041
928	26347	2013
929	26374	1985
930	26403	1956
931	26436	1928
932	26472	1901
933	26507	1873
934	26547	1845
935	26573	1817
936	26601	1788
937	26628	1760
938	26654	1731
939	26681	1703
940	26708	1674
941	26735	1646
942	26764	1617
943	26791	1589
944	26819	1560
945	26848	1532
946	26877	1504
947	26905	1475
948	26933	1447
949	26960	1418
950	26987	1390
951	27014	1362
952	27042	1333
953	27070	1305
954	27100	1276
955	27127	1248
956	27155	1220
957	27183	1191
958	27211	1163
959	27239	1134
960	27265	1106
961	27294	1078
962	27323	1049
963	27351	1021
964	27378	992
965	27405	964
966	27433	936
967	27459	907
968	27488	879
969	27514	850
970	27539	822
971	27567	794
972	27597	765
973	27626	737
974	27651	709
975	27679	680
976	27708	652
977	27735	623
978	27763	595
979	27790	567
980	27817	538
981	27845	510
982	27873	482
983	27900	453
984	27928	425
985	27956	396
986	27983	368
987	28012	340
988	28038	311
989	28065	283
990	28092	255
991	28117	226
992	28146	198
993	28173	170
994	28201	141
995	28228	113
996	28254	85
997	28282	56
998	28310	28
999	28338	0
